CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
VANDALISM,11/17/2017 09:45:00 PM,17-060264,VANDALISM-$400+,22Y,3500 ROBINSON DR.,Oakland,CA,"3500 ROBINSON DR.
Oakland, CA
(37.805073, -122.181535)"
VANDALISM,12/06/2017 08:42:00 PM,17-919307,VANDALISM,05X,1400 LINDEN ST,Oakland,CA,"1400 LINDEN ST
Oakland, CA
(37.809444, -122.283838)"
ASSAULT,02/10/2018 12:50:00 AM,18-007380,BATTERY,14Y,500 CHETWOOD ST,Oakland,CA,"500 CHETWOOD ST
Oakland, CA
(37.817056, -122.250129)"
ASSAULT,01/15/2018 05:00:00 PM,18-003200,BATTERY,26Y,INTERNATIONAL BLVD & SEMINARY AV,Oakland,CA,"INTERNATIONAL BLVD &amp; SEMINARY AV
Oakland, CA
(37.765111, -122.19952)"
MOTOR VEHICLE THEFT,12/07/2017 06:15:00 AM,17-063749,VEHICLE THEFT - AUTO,77X,KIRKHAM CT & MANDELA PKWY,Oakland,CA,"KIRKHAM CT &amp; MANDELA PKWY
Oakland, CA
"
THEFT/LARCENY,12/12/2017 09:30:00 PM,17-064778,BURGLARY-AUTO,03X,JACKSON ST & 10TH ST,Oakland,CA,"JACKSON ST &amp; 10TH ST
Oakland, CA
(37.799236, -122.26697)"
MOTOR VEHICLE THEFT,11/22/2017 07:00:00 AM,17-061876,VEHICLE THEFT - AUTO,09X,4400 HOWE ST,Oakland,CA,"4400 HOWE ST
Oakland, CA
(37.831068, -122.247887)"
DRUGS/ALCOHOL VIOLATIONS,11/18/2017 03:20:00 AM,17-060304,TRANSPORT/SELL NARCOTIC/CONTROLLED SUBSTANCE,08X,3600 TELEGRAPH AV,Oakland,CA,"3600 TELEGRAPH AV
Oakland, CA
(37.824723, -122.265642)"
ASSAULT,11/18/2017 02:43:00 AM,17-060299,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,18Y,2700 22ND AV,Oakland,CA,"2700 22ND AV
Oakland, CA
(37.793722, -122.227769)"
MOTOR VEHICLE THEFT,11/20/2017 09:50:00 AM,17-059655,VEHICLE THEFT - AUTO,01X,3RD ST & MARTIN LUTHER KING JR WY,Oakland,CA,"3RD ST &amp; MARTIN LUTHER KING JR WY
Oakland, CA
(37.798635, -122.280683)"
ASSAULT,12/07/2017 03:40:00 PM,17-063747,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,05X,19TH ST & BRUSH ST,Oakland,CA,"19TH ST &amp; BRUSH ST
Oakland, CA
(37.810456, -122.276293)"
THEFT/LARCENY,11/15/2017 12:00:00 PM,17-059974,THEFT,24Y,3000 HIGH ST,Oakland,CA,"3000 HIGH ST
Oakland, CA
(37.784407, -122.200505)"
ASSAULT,12/02/2017 08:30:00 AM,17-062796,BATTERY,04X,600 W GRAND AV,Oakland,CA,"600 W GRAND AV
Oakland, CA
(37.812425, -122.271619)"
ROBBERY,11/28/2017 05:55:00 PM,17-062145,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",03X,7TH ST & HARRISON ST,Oakland,CA,"7TH ST &amp; HARRISON ST
Oakland, CA
(37.798102, -122.270623)"
THEFT/LARCENY,11/15/2017 12:00:00 AM,17-060871,BURGLARY-AUTO,30X,6900 MORKEN ST,Oakland,CA,"6900 MORKEN ST
Oakland, CA
(37.762356, -122.187353)"
VANDALISM,01/02/2018 09:00:00 AM,18-000220,VANDALISM,03X,7TH ST & ALICE ST,Oakland,CA,"7TH ST &amp; ALICE ST
Oakland, CA
(37.797637, -122.269428)"
THEFT/LARCENY,12/07/2017 04:54:00 PM,17-919334,GRAND THEFT,11X,5100 TELEGRAPH AVE,Oakland,CA,"5100 TELEGRAPH AVE
Oakland, CA
(37.837407, -122.262281)"
ROBBERY,02/08/2018 09:16:00 PM,18-007187,ROBBERY-FIREARM,23X,1500 35TH AV,Oakland,CA,"1500 35TH AV
Oakland, CA
(37.777353, -122.222134)"
ROBBERY,12/10/2017 02:00:00 PM,17-064248,ROBBERY-FIREARM,10Y,47TH ST & MARTIN LUTHER KING JR WY,Oakland,CA,"47TH ST &amp; MARTIN LUTHER KING JR WY
Oakland, CA
(37.835005, -122.267181)"
THEFT/LARCENY,02/10/2018 06:01:00 PM,18-007488,THEFT,04X,2100 BROADWAY,Oakland,CA,"2100 BROADWAY
Oakland, CA
(37.810023, -122.267532)"
VANDALISM,12/06/2017 07:30:00 AM,17-919320,VANDALISM,28X,4500 WALNUT ST,Oakland,CA,"4500 WALNUT ST
Oakland, CA
(37.781519, -122.201775)"
ROBBERY,12/31/2017 06:40:00 PM,17-067905,ROBBERY-KNIFE OR CUTTING INSTRUMENT,27X,50TH AV & FOOTHILL BLVD,Oakland,CA,"50TH AV &amp; FOOTHILL BLVD
Oakland, CA
(37.772643, -122.206427)"
ASSAULT,12/08/2017 07:55:00 PM,17-063991,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,02X,8TH ST & UNION ST,Oakland,CA,"8TH ST &amp; UNION ST
Oakland, CA
(37.805333, -122.290006)"
ROBBERY,01/21/2018 05:20:00 AM,18-003671,ROBBERY-FIREARM,20X,E 16TH ST & 29TH AV,Oakland,CA,"E 16TH ST &amp; 29TH AV
Oakland, CA
(37.780973, -122.2275)"
MOTOR VEHICLE THEFT,11/24/2017 06:54:00 AM,17-061334,VEHICLE THEFT - AUTO,02X,10TH ST & FILBERT ST,Oakland,CA,"10TH ST &amp; FILBERT ST
Oakland, CA
(37.805899, -122.283995)"
MOTOR VEHICLE THEFT,11/16/2017 06:30:00 PM,17-060205,VEHICLE THEFT - AUTO,25X,3600 REDDING ST,Oakland,CA,"3600 REDDING ST
Oakland, CA
(37.792359, -122.20072)"
SEX CRIMES,11/13/2017 01:00:00 AM,17-059373,DISORDERLY CONDUCT:PROSTITUTION,26Y,66TH AV & INTERNATIONAL BLVD,Oakland,CA,"66TH AV &amp; INTERNATIONAL BLVD
Oakland, CA
(37.76235, -122.193699)"
MOTOR VEHICLE THEFT,12/06/2017 10:59:00 PM,17-919324,ATTEMPT VEHICLE THEFT-AUTO,,300 HENRY STREET,Oakland,CA,"300 HENRY STREET
Oakland, CA
(37.803104, -122.298033)"
ASSAULT,12/14/2017 04:38:00 PM,17-065026,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,27Y,64TH AV & HAYES ST,Oakland,CA,"64TH AV &amp; HAYES ST
Oakland, CA
(37.766288, -122.190875)"
MOTOR VEHICLE THEFT,11/19/2017 08:44:00 AM,17-060563,VEHICLE THEFT - AUTO,30X,79TH AV & ARTHUR ST,Oakland,CA,"79TH AV &amp; ARTHUR ST
Oakland, CA
(37.760017, -122.176344)"
ROBBERY,11/30/2017 12:05:00 PM,17-063653,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",29X,64TH AV & BRANN ST,Oakland,CA,"64TH AV &amp; BRANN ST
Oakland, CA
(37.771593, -122.183264)"
ASSAULT,02/10/2018 10:27:00 AM,18-007425,BATTERY,32X,2400 107TH AVE,Oakland,CA,"2400 107TH AVE
Oakland, CA
(37.741851, -122.153063)"
ASSAULT,12/08/2017 12:45:00 AM,17-063852,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,10X,SAN PABLO AV & STANFORD AV,Oakland,CA,"SAN PABLO AV &amp; STANFORD AV
Oakland, CA
(37.840961, -122.283123)"
BURGLARY,12/07/2017 12:00:00 AM,17-919318,BURGLARY-FORCIBLE ENTRY,08X,3200 KEMPTON AVE,Oakland,CA,"3200 KEMPTON AVE
Oakland, CA
(37.818626, -122.257572)"
VANDALISM,01/31/2018 03:26:00 AM,18-005442,VANDALISM,07X,3500 HOLLIS ST,Oakland,CA,"3500 HOLLIS ST
Oakland, CA
(37.826946, -122.284441)"
ASSAULT,01/02/2018 08:40:00 AM,18-000180,BATTERY,30X,BANCROFT AV & HAVENSCOURT BLVD,Oakland,CA,"BANCROFT AV &amp; HAVENSCOURT BLVD
Oakland, CA
(37.769617, -122.182106)"
ROBBERY,12/11/2017 03:10:00 PM,17-065082,ROBBERY-OTHER DANGEROUS WEAPON,26Y,7100 SPENCER ST,Oakland,CA,"7100 SPENCER ST
Oakland, CA
(37.75659, -122.193414)"
ASSAULT,11/29/2017 08:43:00 AM,17-062161,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,03X,10TH ST & BROADWAY,Oakland,CA,"10TH ST &amp; BROADWAY
Oakland, CA
(37.801579, -122.272967)"
MOTOR VEHICLE THEFT,12/03/2017 03:15:00 PM,17-063008,VEHICLE THEFT - AUTO,26Y,HAVENSCOURT BLVD & INTERNATIONAL BLVD,Oakland,CA,"HAVENSCOURT BLVD &amp; INTERNATIONAL BLVD
Oakland, CA
(37.761952, -122.192862)"
ASSAULT,02/03/2018 01:30:00 PM,18-006117,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,35X,92ND AV & BANCROFT AV,Oakland,CA,"92ND AV &amp; BANCROFT AV
Oakland, CA
(37.752698, -122.16516)"
MOTOR VEHICLE THEFT,01/06/2018 02:00:00 PM,18-001086,VEHICLE THEFT - AUTO,20X,2900 E 19TH ST,Oakland,CA,"2900 E 19TH ST
Oakland, CA
(37.783393, -122.224995)"
VANDALISM,02/04/2018 12:00:00 AM,18-006267,VANDALISM,03X,WEBSTER ST & 11TH ST,Oakland,CA,"WEBSTER ST &amp; 11TH ST
Oakland, CA
(37.801311, -122.270082)"
ROBBERY,02/08/2018 09:04:00 PM,18-007185,ROBBERY-FIREARM,21X,IFO 3048 LOGAN ST.,Oakland,CA,"IFO 3048 LOGAN ST.
Oakland, CA
"
THEFT/LARCENY,01/29/2018 03:38:00 PM,18-005154,THEFT,29X,5600 LAVERNE AV,Oakland,CA,"5600 LAVERNE AV
Oakland, CA
(37.772755, -122.19432)"
SEX CRIMES,12/01/2017 12:42:00 AM,17-062555,DISORDERLY CONDUCT:PROSTITUTION,19X,9TH AV & INTERNATIONAL BLVD,Oakland,CA,"9TH AV &amp; INTERNATIONAL BLVD
Oakland, CA
(37.792812, -122.250526)"
ASSAULT,12/18/2017 04:00:00 PM,17-065745,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,10Y,GENOA ST & 53RD ST,Oakland,CA,"GENOA ST &amp; 53RD ST
Oakland, CA
(37.837744, -122.271335)"
ARSON,12/16/2017 06:31:00 PM,17-065308,MAL SET/ETC FIRE PROP/ETC,23X,E 17TH ST & 41ST AV,Oakland,CA,"E 17TH ST &amp; 41ST AV
Oakland, CA
(37.775167, -122.215122)"
BURGLARY,11/26/2017 02:25:00 AM,17-061611,BURGLARY-FORCIBLE ENTRY,05X,1500 POPLAR ST,Oakland,CA,"1500 POPLAR ST
Oakland, CA
(37.808618, -122.288802)"
MOTOR VEHICLE THEFT,11/17/2017 02:30:00 PM,17-060263,VEHICLE THEFT - AUTO,04X,TELEGRAPH AV & 17TH ST,Oakland,CA,"TELEGRAPH AV &amp; 17TH ST
Oakland, CA
(37.806838, -122.270252)"
VANDALISM,01/03/2018 06:30:00 PM,18-901017,VANDALISM,09X,RIO VISTA AV & PIEDMONT AV,Oakland,CA,"RIO VISTA AV &amp; PIEDMONT AV
Oakland, CA
(37.824435, -122.255004)"
ROBBERY,01/30/2018 08:10:00 PM,18-005389,ATTEMPTED ROBBERY-FIREARM,03Y,800 MARTIN LUTHER KING JR W,Oakland,CA,"800 MARTIN LUTHER KING JR W
Oakland, CA
"
MOTOR VEHICLE THEFT,11/30/2017 12:54:00 PM,17-062419,VEHICLE THEFT - AUTO,17X,1300 E 20TH ST,Oakland,CA,"1300 E 20TH ST
Oakland, CA
(37.793659, -122.241462)"
THEFT/LARCENY,11/17/2017 07:20:00 PM,17-060249,BURGLARY-AUTO,12X,47TH ST & TELEGRAPH AV,Oakland,CA,"47TH ST &amp; TELEGRAPH AV
Oakland, CA
(37.83434, -122.263052)"
DRUGS/ALCOHOL VIOLATIONS,01/17/2018 09:18:00 PM,18-003090,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,07X,32ND ST & FILBERT ST,Oakland,CA,"32ND ST &amp; FILBERT ST
Oakland, CA
(37.823025, -122.277811)"
ASSAULT,01/08/2018 06:51:00 PM,18-001383,OBSTRUCT/RESIST/ETC PUBLIC/PEACE OFFICER/EMERGENCY MED TECH,01X,3RD ST & BROADWAY,Oakland,CA,"3RD ST &amp; BROADWAY
Oakland, CA
(37.796761, -122.27597)"
THEFT/LARCENY,12/12/2017 10:06:00 AM,17-064550,BURGLARY-AUTO,33X,1300 90TH AV,Oakland,CA,"1300 90TH AV
Oakland, CA
(37.749149, -122.17604)"
MOTOR VEHICLE THEFT,01/20/2018 11:54:00 AM,18-003553,VEHICLE THEFT - AUTO,23X,E 12TH ST & 41ST AV,Oakland,CA,"E 12TH ST &amp; 41ST AV
Oakland, CA
(37.772338, -122.218043)"
ASSAULT,12/19/2017 08:51:00 PM,17-065984,BATTERY,23X,35TH AV & INTERNATIONAL BLVD,Oakland,CA,"35TH AV &amp; INTERNATIONAL BLVD
Oakland, CA
(37.77608, -122.222778)"
THEFT/LARCENY,01/31/2018 08:01:00 AM,18-005460,POSS STOLEN VEH/VES/ETC,06X,700 25TH ST,Oakland,CA,"700 25TH ST
Oakland, CA
(37.815214, -122.273606)"
MOTOR VEHICLE THEFT,02/09/2018 12:25:00 PM,18-007368,VEHICLE THEFT - AUTO,16Y,1400 E 38TH ST,Oakland,CA,"1400 E 38TH ST
Oakland, CA
(37.803942, -122.227307)"
DRUGS/ALCOHOL VIOLATIONS,01/19/2018 09:24:00 PM,18-003448,POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA,03X,6TH ST & ALICE ST,Oakland,CA,"6TH ST &amp; ALICE ST
Oakland, CA
(37.797009, -122.269868)"
THEFT/LARCENY,12/13/2017 09:00:00 AM,17-065077,THEFT,03X,900 ALICE ST,Oakland,CA,"900 ALICE ST
Oakland, CA
(37.799266, -122.268412)"
MOTOR VEHICLE THEFT,02/03/2018 11:00:00 AM,18-006099,VEHICLE THEFT - AUTO,09X,40TH ST & BROADWAY,Oakland,CA,"40TH ST &amp; BROADWAY
Oakland, CA
(37.82752, -122.256772)"
THEFT/LARCENY,01/28/2018 12:00:00 PM,18-005280,THEFT,05X,SAN PABLO AV & W GRAND AV,Oakland,CA,"SAN PABLO AV &amp; W GRAND AV
Oakland, CA
(37.812801, -122.273932)"
VANDALISM,12/01/2017 06:10:00 AM,17-919327,VANDALISM,31X,7800 OAKPORT ST,Oakland,CA,"7800 OAKPORT ST
Oakland, CA
(37.743953, -122.199837)"
ROBBERY,11/21/2017 12:55:00 AM,17-060772,ATTEMPTED ROBBERY-STRONG-ARM,34X,88TH AV & INTERNATIONAL BLVD,Oakland,CA,"88TH AV &amp; INTERNATIONAL BLVD
Oakland, CA
(37.751122, -122.175582)"
VANDALISM,11/13/2017 04:37:00 PM,17-059490,VANDALISM,11X,500 61ST ST,Oakland,CA,"500 61ST ST
Oakland, CA
(37.847196, -122.261142)"
ASSAULT,11/27/2017 09:15:00 PM,17-061929,BATTERY,32Y,10100 MACARTHUR BLVD,Oakland,CA,"10100 MACARTHUR BLVD
Oakland, CA
(37.744722, -122.154378)"
DUI,02/02/2018 10:04:00 PM,18-006024,DUI ALCOHOL/DRUGS,34X,96TH AV & BIRCH ST,Oakland,CA,"96TH AV &amp; BIRCH ST
Oakland, CA
(37.748295, -122.166115)"
THEFT/LARCENY,01/29/2018 07:30:00 PM,18-005198,BURGLARY-AUTO,03X,8TH ST & WEBSTER ST,Oakland,CA,"8TH ST &amp; WEBSTER ST
Oakland, CA
(37.799254, -122.271369)"
DISTURBING THE PEACE,11/18/2017 12:25:00 PM,17-060349,DISORDERLY CONDUCT:  LODGING IN PUBLIC OR PRIVATE WITHOUT PERMISSION,10Y,800 STANFORD AV,Oakland,CA,"800 STANFORD AV
Oakland, CA
(37.846191, -122.273019)"
THEFT/LARCENY,01/15/2018 08:30:00 PM,18-003391,BURGLARY-AUTO,12Y,6300 COLLEGE AV,Oakland,CA,"6300 COLLEGE AV
Oakland, CA
(37.850346, -122.252379)"
ROBBERY,02/07/2018 08:00:00 PM,18-006773,ROBBERY/INHABITED DWELLING - FIREARM,33X,900 86TH AV,Oakland,CA,"900 86TH AV
Oakland, CA
(37.748624, -122.18495)"
MOTOR VEHICLE THEFT,11/26/2017 05:30:00 PM,17-061768,VEHICLE THEFT - AUTO,26X,5000 E 8TH ST,Oakland,CA,"5000 E 8TH ST
Oakland, CA
(37.765679, -122.212899)"
THEFT/LARCENY,12/30/2017 02:00:00 PM,17-067749,BURGLARY-AUTO,06X,2200 SAN PABLO AV,Oakland,CA,"2200 SAN PABLO AV
Oakland, CA
(37.812471, -122.273819)"
ASSAULT,01/12/2018 10:15:00 AM,18-002773,ASSAULT WITH CAUSTIC CHEMICAL/ETC,23X,FRUITVALE AV & FOOTHILL BLVD,Oakland,CA,"FRUITVALE AV &amp; FOOTHILL BLVD
Oakland, CA
(37.78374, -122.222771)"
ROBBERY,02/06/2018 08:35:00 PM,18-006755,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",02Y,14TH ST & WOOD ST,Oakland,CA,"14TH ST &amp; WOOD ST
Oakland, CA
(37.813297, -122.29779)"
MOTOR VEHICLE THEFT,11/13/2017 03:00:00 AM,17-059392,ATTEMPT VEHICLE THEFT-AUTO,21Y,2600 FRUITVALE AV,Oakland,CA,"2600 FRUITVALE AV
Oakland, CA
(37.788639, -122.220808)"
THEFT/LARCENY,12/25/2017 11:00:00 AM,17-066961,BURGLARY-AUTO,26X,66TH AV & COLISEUM WY,Oakland,CA,"66TH AV &amp; COLISEUM WY
Oakland, CA
(37.755035, -122.205342)"
MOTOR VEHICLE THEFT,01/29/2018 01:00:00 PM,18-005126,VEHICLE THEFT - AUTO,30Y,CREST AV & STERLING DR,Oakland,CA,"CREST AV &amp; STERLING DR
Oakland, CA
(37.766421, -122.157514)"
THEFT/LARCENY,12/14/2017 11:20:00 PM,17-065072,BURGLARY-AUTO,01X,CLAY ST & EMBARCADERO WEST,Oakland,CA,"CLAY ST &amp; EMBARCADERO WEST
Oakland, CA
(37.796373, -122.279176)"
VANDALISM,01/16/2018 07:45:00 PM,18-901617,VANDALISM,08X,24TH ST & BROADWAY,Oakland,CA,"24TH ST &amp; BROADWAY
Oakland, CA
(37.813404, -122.265569)"
THEFT/LARCENY,01/29/2018 06:20:00 PM,18-005173,GRAND THEFT FROM PERSON,03X,9TH ST & ALICE ST,Oakland,CA,"9TH ST &amp; ALICE ST
Oakland, CA
(37.799011, -122.268572)"
ROBBERY,11/26/2017 05:37:00 PM,17-061632,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",27Y,64TH AV & AVENAL AV,Oakland,CA,"64TH AV &amp; AVENAL AV
Oakland, CA
(37.767464, -122.189017)"
THEFT/LARCENY,12/02/2017 05:15:00 PM,17-062899,BURGLARY-AUTO,01X,4TH ST & WEBSTER ST,Oakland,CA,"4TH ST &amp; WEBSTER ST
Oakland, CA
(37.79649, -122.273081)"
ROBBERY,11/16/2017 04:00:00 AM,17-059946,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",19X,8TH AV & E 11TH ST,Oakland,CA,"8TH AV &amp; E 11TH ST
Oakland, CA
(37.792214, -122.253263)"
THEFT/LARCENY,01/13/2018 05:00:00 PM,18-002327,BURGLARY-AUTO,14Y,GRAND AV & LAKE PARK AV,Oakland,CA,"GRAND AV &amp; LAKE PARK AV
Oakland, CA
(37.811458, -122.247926)"
WEAPONS,12/03/2017 12:32:00 AM,17-062915,CARRY CONCEALED WEAPON IN VEH W/PRIOR CONVICTION,30X,75TH AV & BANCROFT AV,Oakland,CA,"75TH AV &amp; BANCROFT AV
Oakland, CA
(37.764922, -122.17569)"
THEFT/LARCENY,12/29/2017 10:00:00 PM,18-900674,BURGLARY-AUTO,03X,13TH ST & MADISON ST,Oakland,CA,"13TH ST &amp; MADISON ST
Oakland, CA
(37.80084, -122.264494)"
THEFT/LARCENY,11/25/2017 10:00:00 PM,18-000814,THEFT,10Y,LINDEN ST & 46TH ST,Oakland,CA,"LINDEN ST &amp; 46TH ST
Oakland, CA
(37.83558, -122.27537)"
THEFT/LARCENY,01/13/2018 10:30:00 PM,18-002346,BURGLARY-AUTO,03X,12TH ST & HARRISON ST,Oakland,CA,"12TH ST &amp; HARRISON ST
Oakland, CA
(37.801537, -122.268463)"
THEFT/LARCENY,11/19/2017 06:30:00 PM,17-060552,BURGLARY-AUTO,12X,46TH ST & SHATTUCK AV,Oakland,CA,"46TH ST &amp; SHATTUCK AV
Oakland, CA
(37.833707, -122.263622)"
THEFT/LARCENY,02/04/2018 05:00:00 AM,18-007384,SC THEFT,21Y,3100 COOLIDGE AVE,Oakland,CA,"3100 COOLIDGE AVE
Oakland, CA
(37.792681, -122.214082)"
THEFT/LARCENY,11/15/2017 12:30:00 AM,17-919408,THEFT,14X,400 PERKINS ST,Oakland,CA,"400 PERKINS ST
Oakland, CA
(37.810507, -122.255436)"
ASSAULT,12/17/2017 12:00:00 PM,17-065501,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,30Y,76TH AV & BANCROFT AV,Oakland,CA,"76TH AV &amp; BANCROFT AV
Oakland, CA
(37.764539, -122.174917)"
ASSAULT,01/17/2018 11:46:00 AM,18-002996,ASSAULT WITH FIREARM ON PERSON,32Y,108TH AV & BANCROFT AV,Oakland,CA,"108TH AV &amp; BANCROFT AV
Oakland, CA
(37.7403, -122.15597)"
THEFT/LARCENY,12/11/2017 11:41:00 PM,17-064508,BURGLARY-AUTO,04X,1900 HARRISON ST,Oakland,CA,"1900 HARRISON ST
Oakland, CA
(37.806345, -122.26546)"
THEFT/LARCENY,02/07/2018 09:45:00 PM,18-006984,BURGLARY-AUTO,12X,41ST ST & OPAL ST,Oakland,CA,"41ST ST &amp; OPAL ST
Oakland, CA
(37.829048, -122.25854)"
THEFT/LARCENY,01/03/2018 05:35:00 PM,18-900903,BURGLARY-AUTO,12X,49TH ST & TELEGRAPH AV,Oakland,CA,"49TH ST &amp; TELEGRAPH AV
Oakland, CA
(37.83574, -122.262684)"
VANDALISM,11/18/2017 07:27:00 AM,17-060316,VANDALISM,04X,600 21ST ST,Oakland,CA,"600 21ST ST
Oakland, CA
(37.810664, -122.271397)"
MOTOR VEHICLE THEFT,01/17/2018 09:48:00 AM,18-002943,VEHICLE THEFT - AUTO,19X,21ST AV & SOLANO WY,Oakland,CA,"21ST AV &amp; SOLANO WY
Oakland, CA
(37.784787, -122.239328)"
ARSON,01/04/2018 01:51:00 AM,18-000563,MAL SET/ETC FIRE PROP/ETC - MOTOR VEHICLES,21Y,COOLIDGE AV & E 23RD ST,Oakland,CA,"COOLIDGE AV &amp; E 23RD ST
Oakland, CA
(37.784584, -122.220278)"
ASSAULT,12/27/2017 10:15:00 AM,17-067233,ADW NOT F/ARM:PO/FIRE:GBI,31Y,CORAL RD & WISTAR RD,Oakland,CA,"CORAL RD &amp; WISTAR RD
Oakland, CA
(37.731825, -122.190668)"
DRUGS/ALCOHOL VIOLATIONS,11/23/2017 09:42:00 AM,17-061178,POSS CONTROLLED SUBSTANCE WHILE ARMED W/LOADED FIREARM,23X,33RD AV & E 9TH ST,Oakland,CA,"33RD AV &amp; E 9TH ST
Oakland, CA
(37.77314, -122.227021)"
ASSAULT,12/09/2017 07:34:00 PM,17-064171,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,29X,BRANN ST & MILLSBRAE AV,Oakland,CA,"BRANN ST &amp; MILLSBRAE AV
Oakland, CA
(37.775042, -122.187046)"
DISTURBING THE PEACE,01/17/2018 09:30:00 PM,18-004083,DISTURB THE PEACE,08X,24TH ST & WAVERLY ST,Oakland,CA,"24TH ST &amp; WAVERLY ST
Oakland, CA
(37.812939, -122.262817)"
VANDALISM,01/29/2018 11:57:00 PM,18-005344,VANDALISM,31Y,500 HEGENBERGER RD,Oakland,CA,"500 HEGENBERGER RD
Oakland, CA
(37.742152, -122.196132)"
MOTOR VEHICLE THEFT,11/13/2017 09:27:00 AM,17-059538,VEHICLE THEFT - AUTO,31Y,ASHTON AV & ROSSMOOR AV,Oakland,CA,"ASHTON AV &amp; ROSSMOOR AV
Oakland, CA
(37.734964, -122.1873)"
ASSAULT,11/25/2017 02:36:00 PM,17-061597,THREAT CRIME:INT:TERRORIZE,18X,2000 19TH AV,Oakland,CA,"2000 19TH AV
Oakland, CA
(37.791009, -122.236697)"
THEFT/LARCENY,12/01/2017 12:00:00 AM,17-063177,BURGLARY-AUTO,34X,OLIVE ST & 86TH AV,Oakland,CA,"OLIVE ST &amp; 86TH AV
Oakland, CA
(37.756041, -122.169989)"
THEFT/LARCENY,12/02/2017 11:30:00 AM,17-062829,BURGLARY-AUTO,23X,4000 ALAMEDA AV,Oakland,CA,"4000 ALAMEDA AV
Oakland, CA
(37.768208, -122.22405)"
MOTOR VEHICLE THEFT,02/09/2018 02:23:00 PM,18-007381,VEHICLE THEFT - AUTO,31X,00 HEGENBERGER RD,Oakland,CA,"00 HEGENBERGER RD
Oakland, CA
"
VANDALISM,11/25/2017 07:20:00 PM,17-061575,VANDALISM,06X,3300 MARTIN LUTHER KING JR W,Oakland,CA,"3300 MARTIN LUTHER KING JR W
Oakland, CA
"
ROBBERY,02/10/2018 06:00:00 AM,18-007426,ROBBERY-KNIFE OR CUTTING INSTRUMENT,33X,1200 BLK 92ND AVE,Oakland,CA,"1200 BLK 92ND AVE
Oakland, CA
(37.746931, -122.177003)"
ASSAULT,12/02/2017 01:30:00 AM,17-062750,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,27Y,1400 SEMINARY AV,Oakland,CA,"1400 SEMINARY AV
Oakland, CA
(37.765111, -122.19952)"
DRUGS/ALCOHOL VIOLATIONS,01/17/2018 04:11:00 PM,18-003047,POSSESS MARIJUANA/HASHISH FOR SALE,23X,FRUITVALE AV & INTERNATIONAL BLVD,Oakland,CA,"FRUITVALE AV &amp; INTERNATIONAL BLVD
Oakland, CA
(37.777616, -122.22584)"
ASSAULT,01/16/2018 11:32:00 PM,18-002885,ADW NOT F/ARM:PO/FIRE:GBI,27X,1500 45TH AV,Oakland,CA,"1500 45TH AV
Oakland, CA
(37.772467, -122.212141)"
DRUGS/ALCOHOL VIOLATIONS,11/26/2017 08:19:00 AM,17-062957,DISORDERLY CONDUCT:TOLUENE,31X,7000 COLISEUM WY,Oakland,CA,"7000 COLISEUM WY
Oakland, CA
(37.754734, -122.204926)"
ROBBERY,11/25/2017 01:38:00 PM,17-061525,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",34X,8600 INTERNATIONAL BLVD,Oakland,CA,"8600 INTERNATIONAL BLVD
Oakland, CA
(37.752685, -122.176579)"
HOMICIDE,01/31/2018 12:56:00 PM,18-005544,MURDER:FIRST DEGREE,10Y,4500 MARKET ST,Oakland,CA,"4500 MARKET ST
Oakland, CA
(37.834625, -122.27297)"
THEFT/LARCENY,01/25/2018 08:45:00 AM,18-004453,PETTY THEFT,15X,1000 MACARTHUR BLVD,Oakland,CA,"1000 MACARTHUR BLVD
Oakland, CA
(37.734428, -122.140131)"
BURGLARY,12/29/2017 06:30:00 PM,17-067658,BURGLARY-FORCIBLE ENTRY,01X,100 CLAY ST,Oakland,CA,"100 CLAY ST
Oakland, CA
(37.796373, -122.279176)"
THEFT/LARCENY,01/13/2018 12:00:00 PM,18-003350,THEFT,32Y,10200 MACARTHUR BLVD,Oakland,CA,"10200 MACARTHUR BLVD
Oakland, CA
(37.744466, -122.154044)"
